filtered text,label
aaplthe best steve jobs emails everhttptcogkltx,NEUTRAL
rt jpdesloges why aapl stock had a miniflash crash today aapl aapl httptcohgfcjyae,NEUTRAL
my cat only chews apple cords such an applesnob,NEUTRAL
i agree with jimcramer that the individualinvestor should own not trade apple aapl its extended so todays pullback is good to see,NEUTRAL
nobody expects the spanish inquisition aapl,NEUTRAL
aapl rocket stocks to buy for december gains apple and morehttptcoegxhxdlls,NEUTRAL
top all apple tablets damn right httptcorjignjuub,POSITIVE
cnbctv apples margins better than expected aapl httptcogevrtoglk,POSITIVE
apple inc flash crash what you need to know httptcoyjigtifdaj aapl,NEUTRAL
aaplthis presentation shows what makes the worlds biggest tech companies httptcoqlhpqsosd,NEUTRAL
wtf my battery was one second ago and now is wtf is this apple,NEGATIVE
apple watch tops search engine list of best wearable tech httptcoltezjzqqf aapl iwatch applewatch,NEUTRAL
the bestdesigned iphone apps in the world according to apple httptcorazqvpxofg httptcoevukwiecz,NEUTRAL
rt peterpham bought my augustsmartlock at the apple storepretty good logo match cant wait to install it httptcozvkmhbnr,POSITIVE
apple contact sync between yosemite and ios is seriously screwed up it used to be much more stable in the past icloud isync,NEGATIVE
aapl applenws thanks to the non factual dumb twitter followers stock drops points in one minute thanks dummies rumors,NEUTRAL
warning if you buy an iphone s unlocked from apple iphone you cannot use it on verizon network,NEGATIVE
apple john cantlie has been a prisoner of isis for days show you have not abandoned him sign httpstcowtnfuijp,0
apple thanks for xtra checkin at upper westside store but why are appointments running almost minutes late,NEUTRAL
why aapl stock had a miniflash crash today money morning nothing the analysts suggested would make a widel httptcojfgssyei,NEUTRAL
aapl dip only momentarilyjust an aberration in the equity worldaapl,0
the jh hines staff with their newly issued apple connected macbook and ipad mini txed httptcoyjicjbxh,NEUTRAL
robconeybeer you need an ip portfolio to defend against big companies just look at samsung apple court battles,NEUTRAL
apple for the love of gawd center the on the damn calendar app you fixed it once its back off center again httptcodmyahemlc,NEGATIVE
i get the storage almost full notification literally every minutes chill apple,NEGATIVE
i had to do made the switch from iphone to the galaxy note edge apple keep up httptcovvehtpn,NEGATIVE
me rt baemations cant stand those ppl with apple stickers everywhere they prob just bought an ipod shuffle,NEGATIVE
justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
latest apple products leading in efficiency httptcokhenlvtfj apple iphone ipad plugloads,POSITIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
good be huge rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoqmlbuvgxz,NEUTRAL
thehill apple i cite the th amendment as a retort,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
rt saxonidubom rwang apple thanksthinking of upgrading,POSITIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
