tweet,label_1,label_2,final_label
rebuilt from the sound up airpods pro buy now on,POSITIVE,POSITIVE,POSITIVE
early delivery,POSITIVE,POSITIVE,POSITIVE
i have to buy applewatch,POSITIVE,POSITIVE,POSITIVE
just the right size wearing the orange buying the green,POSITIVE,POSITIVE,POSITIVE
apple stay turning my headphones down every minutes,POSITIVE,POSITIVE,POSITIVE
my apple music library is organized ie its usable now,POSITIVE,POSITIVE,POSITIVE
fortunately im picking them up at the apple store mailman,POSITIVE,POSITIVE,POSITIVE
iphone pro pro max lead sales in latest launch day here are the seven key takeaways from the launch,POSITIVE,POSITIVE,POSITIVE
apple went to great lengths to outline the ecofriendliness of its new devices at the appleevent read about our associate director thoughts on how is creating a sustainable future for the smartphone industry,POSITIVE,POSITIVE,POSITIVE
iphone features appleevent you must buy it,POSITIVE,POSITIVE,POSITIVE
shes a beautiful iphone iphonepromax appleevent dynamicisland,POSITIVE,POSITIVE,POSITIVE
apple keeps advancing in different spectacular features on the new iwatch series appleevent,POSITIVE,POSITIVE,POSITIVE
hey this is real dope appleevent,POSITIVE,POSITIVE,POSITIVE
always great running at the appleevent,POSITIVE,POSITIVE,POSITIVE
thank you so much for this amazing opportunity,POSITIVE,POSITIVE,POSITIVE
an amazing opportunity,POSITIVE,POSITIVE,POSITIVE
dynamic island is breaking rules of touch ui because i believe its the foundation for xr and hand based ui dynamicisland appleevent apple iphone,POSITIVE,POSITIVE,POSITIVE
top best laptops for nursing school students,POSITIVE,POSITIVE,POSITIVE
thoughtsol and apple together bring you the all new apple watch series to give your business a perfect boost,POSITIVE,POSITIVE,POSITIVE
apple iphone series available at best deals possible,POSITIVE,POSITIVE,POSITIVE
looking forward,POSITIVE,POSITIVE,POSITIVE
i just published apple watch ultra the real deal,POSITIVE,POSITIVE,POSITIVE
thank you for keeping free shipping for a phone iphonepro apple appleevent,POSITIVE,POSITIVE,POSITIVE
iphone giveaway iphonepro appleevent iphone,POSITIVE,POSITIVE,POSITIVE
a new report suggests all models of the iphone lineup will feature better camera iphone appleevent leakvideos,POSITIVE,POSITIVE,POSITIVE
thank you so much for this amazing giveaway appleevent,POSITIVE,POSITIVE,POSITIVE
ready for iphone appleevent iphonepromax iphonepro iphonemax iphone apple iphone,POSITIVE,POSITIVE,POSITIVE
are you ready for iphone appleevent iphonepromax iphonepro iphonemax iphone apple iphone,POSITIVE,POSITIVE,POSITIVE
apple makes products for the person you want to become appleevent,POSITIVE,POSITIVE,POSITIVE
i just published iphone pro the real deal,POSITIVE,POSITIVE,POSITIVE
oh absolutely our experts are building the next generation ios apps for years and we are all set to develop more appleevent,POSITIVE,POSITIVE,POSITIVE
apples guides app association direction through hefty funding,POSITIVE,POSITIVE,POSITIVE
having a nice weekend appleevent,POSITIVE,POSITIVE,POSITIVE
iphone pro and pro max postive review roundup a trip to dynamic island,POSITIVE,POSITIVE,POSITIVE
omg dynamic island is out of my mind,POSITIVE,POSITIVE,POSITIVE
yes my iphone pro max has shipped iphonepromax appleevent,POSITIVE,POSITIVE,POSITIVE
in terms of integration very repairable unlike previously appleevent,POSITIVE,POSITIVE,POSITIVE
best deals possible,POSITIVE,POSITIVE,POSITIVE
best deal ever,POSITIVE,POSITIVE,POSITIVE
look what we got here dynamic island,POSITIVE,POSITIVE,POSITIVE
apple creatively use dynamic island,POSITIVE,POSITIVE,POSITIVE
always on display allows me to see notifications which is a neat feature i suppose,POSITIVE,POSITIVE,POSITIVE
always on display keeps me updated,POSITIVE,POSITIVE,POSITIVE
omg introducing the new iphone during the appleevent,POSITIVE,POSITIVE,POSITIVE
dominating the news this week here iphone,POSITIVE,POSITIVE,POSITIVE
insane apple iphone pro max specifications overview iphonepromax appleevent,POSITIVE,POSITIVE,POSITIVE
iphone pro is here in colour island display looks impressive unboxing coming soon on my youtube channel link,POSITIVE,POSITIVE,POSITIVE
nailed it iphone apple appleevent,POSITIVE,POSITIVE,POSITIVE
what are you all talking about iphone is so much different from iphone you get to tell people that,POSITIVE,POSITIVE,POSITIVE
watch this entire video to get a amazing first look at everything launched at the appleevent on september,POSITIVE,POSITIVE,POSITIVE
browse more amazing products,POSITIVE,POSITIVE,POSITIVE
thank you well send a reminder before the appleevent,POSITIVE,POSITIVE,POSITIVE
thank you so much legend giveaway iphonepro appleevent iphone,POSITIVE,POSITIVE,POSITIVE
are you excited to see the new iphone during todays appleevent,POSITIVE,POSITIVE,POSITIVE
