tweet,final_label
id have responded if i were going,NEUTRAL
sooo sad i will miss you here in san diego,NEGATIVE
my boss is bullying me,NEGATIVE
what interview leave me alone,NEGATIVE
sons of why couldnt they put them on the releases we already bought,NEGATIVE
httpwwwdothebouncycomsmf some shameless plugging for the best rangers forum on earth,NEUTRAL
am feedings for the baby are fun when he is all smiles and coos,POSITIVE
soooo high,NEUTRAL
both of you,NEUTRAL
journey wow u just became cooler hehe is that possible,POSITIVE
as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff,NEUTRAL
i really really like the song love story by taylor swift,POSITIVE
my sharpie is running dangerously low on ink,NEGATIVE
i want to go to music tonight but i lost my voice,NEGATIVE
test test from the lg env,NEUTRAL
uh oh i am sunburned,NEGATIVE
sok trying to plot alternatives as we speak sigh,NEGATIVE
ive been sick for the past few days and thus my hair looks wierd if i didnt have a hat on it would look httptinyurlcommnfkw,NEGATIVE
is back home now gonna miss every one,NEGATIVE
hes just not that into you,NEUTRAL
oh marly im so sorry i hope you find her soon,NEUTRAL
playing ghost online is really interesting the new updates are kirin pet and metamorph for third job cant wait to have a dragon pet,POSITIVE
is cleaning the house for her family who is comming later today,NEUTRAL
gotta restart my computer i thought win was supposed to put an end to the constant rebootiness,NEUTRAL
see wat i mean bout follw friidays its called lose fllowers friday smh,NEUTRAL
the free fillin app on my ipod is fun im addicted,POSITIVE
im sorry,NEGATIVE
on the way to malaysiano internet access to twit,NEGATIVE
juss came backk from berkeleyy omg its madd fun out there havent been out there in a minute whassqoodd,POSITIVE
went to sleep and there is a power cut in noida power back up not working too,NEGATIVE
im going home now have you seen my new twitter design quiteheavenly isn,POSITIVE
i hope unni will make the audition fighting dahye unni,POSITIVE
if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about minutes,NEGATIVE
thats very funny cute kids,POSITIVE
ahhh i slept through the game im gonna try my best to watch tomorrow though i hope we play army,NEUTRAL
thats it its the end tears for fears vs eric prydz dj hero httpbitlyhpbg,NEUTRAL
born and raised in nyc and living in texas for the past years i still miss ny,NEGATIVE
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,NEUTRAL
im soooooo sleeeeepy the last day o school was todaysniffle,NEGATIVE
a little happy for the wine jeje ok itsm my free time so who cares jaja i love this day,POSITIVE
car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,NEUTRAL
im an avid fan of magazine and i love your magazines,POSITIVE
mayday,NEUTRAL
ratt rocked nashville toniteone thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look,NEUTRAL
i love to but im only available from pm and where dear would love to help convert her vids,POSITIVE
